instruction,input,output,
IPC Chapter 1,IPC Section 1,"Deals with the title and extent of the Indian Penal Code, applicable to the entire country.",
IPC Chapter 1,IPC Section 2,States that every person committing an offense in India is liable under IPC.,
IPC Chapter 1,IPC Section 3,"Extends IPC to crimes committed by Indians outside India, making them punishable under Indian law.",
IPC Chapter 1,IPC Section 4,"Covers extraterritorial jurisdiction, applying IPC to offenses committed by Indians abroad or on Indian ships/aircraft.",
IPC Chapter 1,IPC Section 5,"States that certain laws (military, navy, special acts) are exempt from IPC provisions.",
IPC Chapter 2,IPC Section 6,Law is interpreted as per IPC and special/local laws unless stated otherwise.,
IPC Chapter 2,IPC Section 7,Explains that IPC applies to any offense committed in India unless an exception applies.,
IPC Chapter 2,IPC Section 8,"Defines gender, stating that the word ""he"" includes any person (male or female).",
IPC Chapter 2,IPC Section 9,"Defines number, meaning singular words include plural forms unless stated otherwise.",
IPC Chapter 2,IPC Section 10,"Defines ""man"" and ""woman"" as any human being of male or female gender.",
IPC Chapter 3,IPC Section 53,"Defines punishments under IPC: death penalty, life imprisonment, rigorous/simple imprisonment, forfeiture of property, and fine.",
IPC Chapter 3,IPC Section 54,States that the President/Governor can commute a death sentence.,
IPC Chapter 3,IPC Section 55,Explains that a life sentence can be commuted by the government.,
IPC Chapter 3,IPC Section 56,Defines that punishments for offenses committed in British India apply to Union Territory offenses.,
IPC Chapter 3,IPC Section 57,Clarifies that life imprisonment means 20 years for calculations unless otherwise stated.,
IPC Chapter 4,IPC Section 76,No punishment for an act done by mistake if performed under legal authority or belief of law.,
IPC Chapter 4,IPC Section 77,Judges are exempt from criminal liability for judicial acts performed in good faith.,
IPC Chapter 4,IPC Section 78,Acts done under lawful authority (by court order) are not offenses.,
IPC Chapter 4,IPC Section 79,"No offense if done with a belief of legality, even if mistaken.",
IPC Chapter 4,IPC Section 80,"Accidents in lawful acts are not offenses (e.g., accidental death while driving carefully).",
IPC Chapter 5,IPC Section 107,"Defines abetment as instigating, conspiring, or aiding an offense.",
IPC Chapter 5,IPC Section 108,"Defines who is an abettor, including those assisting or encouraging a crime.",
IPC Chapter 5,IPC Section 109,Punishment for abetment is the same as the main offense if committed.,
IPC Chapter 5,IPC Section 110,"If the main offense has a different punishment for different people, the abettor gets the higher punishment.",
IPC Chapter 5,IPC Section 111,"If abettor aids in committing an offense, they are liable for all consequences.",
IPC Chapter 6,IPC Section 121,Waging war against India is punishable by death or life imprisonment.,
IPC Chapter 6,IPC Section 122,Collecting arms with intent to wage war is punishable with life imprisonment or 10 years.,
IPC Chapter 6,IPC Section 123,Concealing a plan to wage war is punishable by 10 years jail + fine.,
IPC Chapter 6,IPC Section 124A,Sedition (anti-national activities) leads to life imprisonment or 3 years jail + fine.,
IPC Chapter 6,IPC Section 125,Waging war against an ally of India leads to 7 years jail + fine.,
IPC Chapter 7,IPC Section 141,Defines unlawful assembly as a group of 5+ people with criminal intent.,
IPC Chapter 7,IPC Section 143,Punishment for being part of an unlawful assembly is 6 months jail + fine.,
IPC Chapter 7,IPC Section 144,Prohibits gathering of 4+ people in sensitive areas (used for curfews).,
IPC Chapter 7,IPC Section 147,Rioting leads to 2 years jail + fine.,
IPC Chapter 7,IPC Section 148,Rioting with deadly weapons leads to 3 years jail + fine.,
IPC Chapter 8,IPC Section 141,Defines unlawful assembly as a group of 5 or more people with criminal intent.,
IPC Chapter 8,IPC Section 142,A person is a member of an unlawful assembly if they join with intent.,
IPC Chapter 8,IPC Section 143,Punishment for unlawful assembly is 6 months jail + fine.,
IPC Chapter 8,IPC Section 144,Prohibits gathering of 4+ people in sensitive areas (used for curfews and public safety).,
IPC Chapter 8,IPC Section 145,Joining or continuing in unlawful assembly after command to disperse is punishable with 2 years jail + fine.,
IPC Chapter 8,IPC Section 147,Rioting leads to 2 years jail + fine.,
IPC Chapter 8,IPC Section 148,Rioting with deadly weapons leads to 3 years jail + fine.,
IPC Chapter 8,IPC Section 153A,Promoting enmity between groups on religious/racial grounds leads to 3 years jail + fine.,
IPC Chapter 9,IPC Section 161,Public servants taking bribes can be imprisoned for up to 3 years + fine.,
IPC Chapter 9,IPC Section 166,A public servant disobeying the law to cause injury can be jailed for up to 1 year + fine.,
IPC Chapter 9,IPC Section 169,Public servants unlawfully purchasing property face 2 years jail + fine + property confiscation.,
IPC Chapter 9,IPC Section 171,Illegal payments or promises in elections lead to 1 year jail + fine.,
IPC Chapter 10,IPC Section 172,Absconding to avoid summons or warrants leads to 6 months jail + fine.,
IPC Chapter 10,IPC Section 174,Failure to appear in court when summoned is punishable with 1 month jail + fine.,
